"Source","Your finding about AI features","Your finding about Human performance degradation types","Your finding about Causal links between them","Excerpt","Justification","Validation (y/n)"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: opacity | Feature: explanation mechanisms for transparency and interpretability","","","explanation mechanisms that facilitate transparent, interpretable reasoning, such as textual explanations and AI CLs, improve decision-making accuracy by helping users better align their choices with AI suggestions.","This directly addresses the opacity/explainability characteristic by describing mechanisms (textual explanations, AI CLs) that facilitate transparent and interpretable reasoning, which helps mitigate black-box behavior and trust/regulation challenges.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: AI_capability | Feature: AI systems for decision-making and collaboration","","","By advancing our understanding of these dynamics, we can design AI systems that not only improve decision-making accuracy but also support safe and sustainable human-AI collaboration in high-stakes environments.","This represents an AI feature because it explicitly mentions AI systems designed to enhance decision-making accuracy and facilitate human-AI collaboration, indicating AI capabilities beyond conventional automation.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: context_adaptive | Feature: adaptive interfaces","","","Our future research will explore adaptive interfaces capable of dynamically adjusting explanation complexity based on user behavior and task difficulty.","This represents an AI feature because it describes interfaces that dynamically adapt to user behavior and task context, aligning with context-aware/adaptive behavior characteristics in AI systems.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: non_deterministic | Feature: Uncertainty-based confidence levels","","","Confidence levels are provided for AI and users. AI’s CL is calculated by the model’s uncertainty in the prediction.","This represents a non-deterministic AI feature as it involves variable outputs dependent on model uncertainty, contrasting with predictable conventional automation.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: opacity | Feature: lack of AI explanation","","","However, no explanation was provided for the AI’s decision. This phase was designed to measure the impact of AI assistance on user decision-making accuracy.","This directly addresses opacity/explainability by mentioning that no explanation was provided for the AI's decision, which relates to black-box behavior and trust/regulation challenges in high-risk industries.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: opacity | Feature: AI explanation mechanism","","","3.Phase 3: Condition-Specific AI Explanation Mechanism Participants were shown one of six different AI explanation mechanisms.","This relates to opacity/explainability by discussing AI explanation mechanisms, which are tools or methods aimed at addressing the lack of transparency and interpretability issues in AI systems.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: AI_capability | Feature: AI decision-support mechanisms","","","Phase 2: Decision-Making w/ AI assistance but w/o any explanation➋ Visual Explanations (C2)➌ AI CLs (C3)➍ Human Feedback (C4)➎ AI-Driven Questions (C5)➏ Performance Visualization (C6)Phase 3: Decision-Making w/ AI Assistance Accompanied by a Decision-Support Mechanism","This text explicitly mentions AI assistance in decision-making and lists specific AI-driven support mechanisms (visual explanations, AI confidence levels, AI-driven questions, performance visualization), which are characteristic features of AI systems in human-AI interaction contexts.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: interface | Feature: AI suggestion presentation and support mechanisms","","","Figure 4: Interface design across different phases: Phase 1, where the user makes an independent decision without AI assistance; Phase 2, where the AI presents its suggestion but without any explanation; and Phase 3, where condition-specific AI decision-making support mechanisms are applied, followed by another chance for users to update their decision.","This text describes how AI presents suggestions and applies condition-specific decision-making support mechanisms, which are interface features that enable AI capabilities in human-AI interaction systems.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: opacity | Feature: AI explanation methods","","","The right side of the figure illustrates the various explanation methods employed. (1) Textual explanation for why the AI selected a preferred meal, (2) Visual segmentation and labeling of meal items, (3) AI’s confidence level (CL) and an estimation the user’s confidence level (CL), (4) Human feedback on the AI and their own confidence levels (CLs), (5) AI prompted questions for the user, and (6) Performance visualization of the correctness of past questions, for both the AI and the user.","This text directly addresses explainability/opacity concerns by listing specific explanation methods employed by AI systems (textual explanations, visual explanations, confidence levels, etc.), which are features designed to mitigate the black-box nature of AI and improve transparency in human-AI interaction.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: AI_capability | Feature: AI assistance complexity, reliability, and explanation effectiveness","","","the perceived complexity and reliability of the AI’s assistance, and the effectiveness of each AI explanation mechanism.","This directly mentions AI-specific capabilities (assistance, explanation mechanisms) that are being evaluated, which relates to AI features like explainability and reliability in human-AI interaction contexts.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: AI_capability | Feature: Generative AI model for prediction","","","We utilize a generative AI model to predict the participant’s CL in selecting the correct meal for controlling blood sugar in diabetes management.","This represents an AI feature as it explicitly mentions a 'generative AI model' used for predictive capabilities, which is a novel characteristic compared to conventional automation, involving data-driven decision-making and potential non-deterministic outputs.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: AI_capability | Feature: Generative AI model for prediction","","","In our experiments, we use GPT-4o-2024-05-13 as the generative AI model. The model processes historical decision data and the nutritional profiles of the current query meals to predict the user’s likelihood of selecting the correct meal.","This represents an AI capability where a generative model (GPT-4o) performs predictive analysis based on data processing, which is a characteristic of advanced AI systems versus conventional automation.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","Category: AI_capability | Feature: Data-driven prediction","","","Lprocesses historical decisions Dand the nutritional profiles of both current query meals to predict the user’s likelihood of selecting the correct meal;","This describes an AI capability where the system uses historical data (decisions and nutritional profiles) to make predictions about user behavior, which is a core function of AI systems versus conventional automation.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: automation_bias | Severity: 7","","Since human decision-making often relies on System 1 thinking (fast, intuitive, heuristics driven, prone to cognitive biases), users may ignore or insufficiently engage with the explanations, leading to poor decision-making.","Severity Justification: Poor decision-making directly indicates performance degradation, and the link to cognitive biases suggests a systematic issue. | Relevance Justification: Directly addresses cognitive biases in decision-making with AI systems, which is a key focus area for novel AI-related degradations.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: performance_metrics | Severity: 6","","While mechanisms like human feedback and AI-driven questions encouraged deeper reflection, they may have resulted in decreased task performance, likely due to increased cognitive effort and heightened scrutiny, which negatively impacted trust.","Severity Justification: The degradation is directly mentioned as 'decreased task performance' with a clear causal link to cognitive effort and trust issues, but it is qualified with 'may have resulted in' indicating uncertainty, so it is moderate. | Relevance Justification: This is a direct mention of human performance degradation (decreased task performance) in the context of novel AI-related mechanisms (human feedback and AI-driven questions), making it highly relevant to the research focus on human-AI interaction and performance impacts.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","To encourage a shift from System 1 to System 2 thinking, with the goal to help overcome issues of over-trust or under-trust by enhancing engaged task performance, we designed six decision-support mechanisms including a baseline text explanation method.","Severity Justification: Trust issues (over-trust/under-trust) are directly stated as problems needing intervention, indicating moderate severity as they are recognized but not described with extreme consequences. | Relevance Justification: This directly matches the priority search for 'trust issues: over-trust, under-trust' and is explicitly mentioned in the chunk, making it highly relevant to human performance degradation in AI contexts.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","Studies suggest that overreliance persists when users are faced with complex tasks or explanations [34, 35, 36].","Severity Justification: Overreliance is a specific form of over-trust that can degrade decision-making, though the text presents it as a studied phenomenon rather than an immediate severe consequence. | Relevance Justification: Directly mentions overreliance, which is related to trust issues and automation bias, key categories for performance degradation in human-AI systems.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 7","","Users may over-rely or under-trust an AI system. Over-trust can lead to unquestioned acceptance of AI suggestions, even wrong ones, potentially resulting in incorrect or harmful recommendations [18, 19]. Conversely, under-trust may cause users to disregard valuable AI-generated advice that could potentially improve health outcomes [20].","Severity Justification: The text explicitly links over-trust to potentially harmful recommendations and under-trust to disregarding valuable advice, indicating significant performance impacts, especially in healthcare contexts mentioned earlier. | Relevance Justification: Directly addresses trust issues (over-trust and under-trust) which are priority search items for human performance degradation in human-AI interaction.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: behavioral_changes | Severity: 6","","Users may rely excessively on their intuitions (System 1) or engage in overly critical analysis (System 2) that can both discount AI contributions.","Severity Justification: The excerpt indicates behavioral changes (excessive reliance on intuition or overly critical analysis) that degrade performance by undervaluing AI inputs, but it does not detail severe consequences like major errors. | Relevance Justification: The excerpt discusses cognitive biases and decision-making issues related to AI interaction, relevant to the research focus on novel AI features like opacity and adaptive behavior affecting human performance.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 7","","Users often weigh the cognitive cost (System 2) of evaluating AI suggestions against perceived benefits, potentially defaulting to uncritical acceptance (System 1) if the effort seems too high [41, 42, 39]. Conversely, under-trust can lead to the dismissal of valuable AI support, limiting the potential benefits of human-AI collaboration.","Severity Justification: The excerpt highlights significant trust issues (under-trust and uncritical acceptance) that directly impair decision-making and collaboration, leading to potential errors or missed benefits, but it does not specify extreme outcomes like accidents. | Relevance Justification: The excerpt explicitly mentions under-trust and uncritical acceptance, which are key trust issues in human-AI interaction, aligning closely with the research focus on novel AI characteristics like opacity and non-deterministic decision-making.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: automation_bias | Severity: 7","","The highly significant p-value ( p <0.001) indicates that a notable proportion of users follow AI suggestions even when they are incorrect, demonstrating a bias toward trusting AI-generated advice. This highlights an over-reliance on AI, even in cases where the suggestions are faulty, something that prior work has also demonstrated [44, 45, 46].","Severity Justification: The text explicitly describes a bias and over-reliance on AI, leading to following incorrect suggestions, which is a direct performance degradation in decision-making. | Relevance Justification: Directly addresses automation bias and trust issues in human-AI interaction, with statistical evidence and references to prior work, aligning with the research focus on novel AI characteristics.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: automation_bias | Severity: 7","","people tend to follow AI suggestions with limited critical evaluation, often accepting them without thoroughly processing the outcomes. Users show a tendency to rely on AI suggestions, even when the AI is wrong. Such over-reliance can be explained by cognitive bias, where users may perceive the AI system as an authoritative figure, especially in tasks requiring complex decision-making.","Severity Justification: The excerpt describes a clear pattern of over-reliance and limited critical evaluation, which can lead to significant performance degradation when AI is incorrect, though it does not quantify specific error rates. | Relevance Justification: Directly addresses cognitive bias (automation bias) and over-reliance on AI, which are key aspects of human performance degradation in human-AI interaction, aligning with the research focus on novel AI characteristics.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 7","","People tend to trust AI’s answers, even when explanations are minimal, and this can lead to overreliance.","Severity Justification: Overreliance on AI due to minimal explanations can degrade human performance by reducing critical evaluation, potentially leading to errors in high-risk contexts. | Relevance Justification: Directly addresses trust issues and overreliance, which are key human performance degradations in human-AI interaction, as specified in the priority search.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 5","","Explanation mechanisms with a balanced Explanation Information Load (EIL) that provide interpretable model reasoning support for effective human-AI collaboration by enhancing decision-making and facilitating trust calibration without overwhelming users.","Severity Justification: Unbalanced explanations could overwhelm users, leading to cognitive overload and impaired decision-making, though the text focuses on the benefits of balanced mechanisms. | Relevance Justification: Addresses cognitive load and trust calibration issues, which are key degradations in human performance when interacting with AI systems.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: behavioral_changes | Severity: 6","","Access to explanation mechanisms makes users more critical of AI suggestions, encouraging deeper evaluation of AI outputs.","Severity Justification: Lack of critical evaluation can lead to degraded performance by increasing reliance on potentially incorrect AI outputs, though the text frames it as a positive effect of explanations. | Relevance Justification: Relates to behavioral changes in how users evaluate AI, which is a human performance factor in decision-making processes.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 6","","However, it is important to note that the system complexity also increased ( p= 0.008), which may have led to increased cognitive overload.","Severity Justification: The text indicates a statistically significant increase in system complexity (p=0.008) that may lead to cognitive overload, suggesting a moderate but measurable impact on human performance. | Relevance Justification: This directly matches the research focus on novel AI characteristics (specifically opacity/lack of explainability leading to complexity) and the priority search category for cognitive load issues. The phrase 'cognitive overload' is explicitly mentioned verbatim.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","Users likely accepted the AI’s output without reflecting on its reasoning, which points to potential over-reliance.","Severity Justification: Over-reliance on AI without reflection can lead to uncritical acceptance of potentially flawed outputs, degrading decision-making quality. | Relevance Justification: Directly mentions 'potential over-reliance,' which is a trust issue and human performance degradation in human-AI interaction.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","However, we observe that there is no significant improvement in system reliability and trust, suggesting that confidence levels alone may not be sufficient to build trust.","Severity Justification: The excerpt explicitly mentions no significant improvement in trust, which is a direct trust issue, but it does not specify severe degradation or failure. | Relevance Justification: This directly addresses trust issues, a priority search category, in the context of AI system reliability, aligning with the research focus on human-AI interaction and trust challenges.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 7","","high information density, without sufficient interpretive support, can lead to cognitive strain, ultimately limiting performance and reducing trust calibration [48].","Severity Justification: Cognitive strain directly limits performance, indicating a moderate to high impact on human capabilities. | Relevance Justification: This directly describes a human performance degradation (limiting performance) related to AI/autonomous system characteristics (information density and interpretive support), aligning with the research focus on cognitive load and trust issues.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: misinterpretation | Severity: 4","","This combination of a manageable EIL and interpretable reasoning support users in making informed decisions without information overload. In contrast, mechanisms that lack clear interpretive reasoning exhibit less impact on performance. Performance visualization (C6), with an EIL of 0.60, demonstrates borderline significance ( p= 0.092), suggesting that while users are encouraged to engage with historical performance data, the lack of explicit interpretive guidance left them to draw their own conclusions from visual information.","Severity Justification: The text indicates a lack of explicit interpretive guidance leads users to draw their own conclusions, which could result in misinterpretation, but it's described as having 'less impact on performance' and 'borderline significance', suggesting moderate rather than severe degradation. | Relevance Justification: This directly addresses interpretation issues (misinterpretation of AI recommendations/understanding AI outputs) from the priority search list, as it discusses how lack of interpretive guidance affects user decision-making with performance data.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 7","","AI-driven questions (C5), with the highest EIL, likely lead to information overload, as users are required to reflect deeply on their decisions.","Severity Justification: Information overload is a direct cognitive overload issue that can degrade decision-making performance, though the text states it 'likely' leads to this rather than confirming it. | Relevance Justification: Directly mentions 'information overload' as a performance degradation linked to AI characteristics (high EIL), aligning with the research focus on novel AI-related degradations.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 8","","In contrast, mechanisms that lack interpretive support or impose high cognitive demands may hinder performance, highlighting the importance of designing AI explanation mechanisms that offer clear interpretive insights aligned with the user’s cognitive capacity.","Severity Justification: Explicitly states that high cognitive demands 'may hinder performance,' indicating a significant potential degradation in human performance due to AI mechanisms. | Relevance Justification: Directly addresses performance hindrance from AI mechanisms with high cognitive demands or lack of interpretive support, relevant to novel AI characteristics like opacity and context-aware behavior.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 6","","The result suggests that textual explanations may introduce additional complexity burden on users, making the system more challenging to use.","Severity Justification: The text indicates a significant increase in system complexity (p=0.008) that burdens users and makes the system more challenging to use, suggesting moderate performance impact. | Relevance Justification: Directly addresses cognitive load/interface complexity from AI explanations, which is a key degradation category in human-AI interaction research.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 3","","Engaging with AI Trust. Interestingly, user trust in the AI system slightly decreased, though this change was not statistically significant (p= 0.368).","Severity Justification: The degradation is described as a slight decrease in trust, which is minor and not statistically significant, suggesting low severity. | Relevance Justification: This directly addresses trust issues, a priority search category, by mentioning decreased user trust in the AI system, which is relevant to human performance degradation in human-AI interaction.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","However, this gain in reliability does not translate into a corresponding increase in trust, as shown in the next subsection, pointing toward potential limitations in how trust is developed in AI systems without transparency or interpretability.","Severity Justification: The issue is moderate as it directly points to a failure in trust development, which can lead to under-reliance or misuse in high-risk contexts, but it is not explicitly linked to severe outcomes like errors or accidents. | Relevance Justification: Highly relevant as it explicitly discusses trust issues (under-trust or trust mismatch) in AI systems, aligning with the research focus on opacity/lack of explainability and its impact on human-AI interaction.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 5","","We can also find there is a mismatch between the user’s mental model of the AI and the actual usefulness of the explanations provided. If explanations do not align well with user mental models, they may lead to over-reliance or skepticism toward the AI system.","Severity Justification: The mismatch can lead to significant behavioral changes like over-reliance or skepticism, suggesting a notable impact on decision-making and trust. | Relevance Justification: This directly relates to trust calibration and misinterpretation in human-AI interaction, core to the research focus on opacity and explainability.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 4","","Despite the increase in the reliability, the additional complexity of textual explanations may have increased cognitive load, leading to a minor reduction in overall trust.","Severity Justification: The degradation is described as a 'minor reduction' in trust, suggesting a moderate impact on performance. | Relevance Justification: This directly addresses cognitive load and trust issues, which are key aspects of human performance degradation in AI interactions, aligning with the research focus on opacity and explainability.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 7","","Without explanations or feedback, users may begin to feel uncertain about how to critically assess its outputs, leading to a trust decline.","Severity Justification: The degradation involves a direct decline in trust, which is a critical factor in human-AI interaction, especially in high-risk industries where trust affects decision-making and reliance. The uncertainty in critical assessment can lead to under-trust or mis-calibrated trust, impacting performance. | Relevance Justification: This excerpt directly addresses trust issues, specifically trust decline due to lack of transparency and interpretability, which aligns with the research focus on opacity/lack of explainability in novel AI systems. It highlights a human performance degradation related to trust calibration and decision-making under uncertainty.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","the lack of system transparency may limit user ability to engage critically with the AI’s outputs with impact on perception of credibility and trust.","Severity Justification: The degradation is moderate as it directly links transparency issues to reduced critical engagement and trust, but it is not quantified or tied to specific performance metrics. | Relevance Justification: Highly relevant to the research focus on opacity/lack of explainability in AI systems, as it explicitly discusses how this characteristic impacts user trust and critical interaction, aligning with human performance degradation in high-risk contexts.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 3","","Trust. Although trust in the AI slightly decreased after the introduction of CLs, this change is not statistically significant ( p= 0.206). The results indicate a subtle interaction between the reliability and trust of the system.","Severity Justification: The decrease is described as 'slight' and not statistically significant, indicating a minor degradation. | Relevance Justification: Directly addresses trust degradation, a key focus in human performance issues with novel AI systems, aligning with the research focus on trust/regulation challenges.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: behavioral_changes | Severity: 3","","it is possible that users become more critical of the AI suggestions when they can see that the system is not always highly confident or more accurate than a human.","Severity Justification: The text describes a potential negative behavioral change (increased criticism) but does not quantify its impact on performance or specify severe consequences. | Relevance Justification: The text directly addresses a human performance-related behavioral change (increased criticism) in response to AI characteristics (non-deterministic confidence/accuracy), aligning with the research focus on novel AI features versus traditional automation.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 4","","The lack of significance indicates that the added cognitive task of self-reflection does not substantially enhance overall satisfaction, potentially because it may introduce additional cognitive effort.","Severity Justification: The text explicitly mentions 'additional cognitive effort' as a potential negative consequence, but it is framed as a possibility ('potentially because') and not a confirmed severe degradation. | Relevance Justification: The text directly discusses a human performance aspect (satisfaction not enhanced due to added cognitive task/effort) related to human-AI interaction, aligning with the research focus on novel AI characteristics and human feedback mechanisms.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 3","","The results show that while the added interaction may increase the cognitive processing load, users generally find the system manageable.","Severity Justification: The text mentions a potential increase in cognitive processing load, but it is described as manageable and non-significant, indicating low severity. | Relevance Justification: The text directly addresses cognitive processing load, which is a key aspect of cognitive overload in human-AI interaction, aligning with the research focus on novel AI characteristics.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 3","","Trust. Trust in the AI system slightly decreased after participants have to reflect on their own CLs and those of the AI. While this change is not statistically significant ( p= 0.417), the slight decline suggests that the process of reflecting on confidence might lead some users to become more critical of the AI’s suggestions and question the system’s accuracy when they think their confidence is not aligned.","Severity Justification: The decrease is described as slight and not statistically significant, indicating a minor degradation. | Relevance Justification: Directly addresses trust calibration issues, a key focus in human-AI interaction, by describing a decline in trust and questioning of AI accuracy due to reflection on confidence levels.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","Trust. We observe a statistically significant decrease in trust after participants interact with AI-driven questions (C5) ( p= 0.032). The result suggests that, while reflective questions are designed to improve engagement, they may also lead users to question the AI’s recommendations more critically, potentially leading to a loss of trust when the AI’s logic does not align with the user’s expectations.","Severity Justification: The decrease in trust is statistically significant (p=0.032), indicating a measurable and reliable negative impact on user trust, which is a critical component of effective human-AI collaboration. | Relevance Justification: This directly addresses the research focus on trust/regulation challenges due to AI opacity/lack of explainability (black-box behavior) and matches the priority search for trust issues (under-trust, trust mismatch).","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: misinterpretation | Severity: 4","","some participants possibly found the reflective questions helpful, while others may have struggled with interpreting the AI’s logic, leading to doubts about its accuracy.","Severity Justification: The degradation is implied through struggles with interpretation leading to doubts, but it is not severe as it is not statistically significant and only affects some participants. | Relevance Justification: This directly relates to misinterpretation of AI outputs, a key aspect of human performance degradation in human-AI interaction, as it involves challenges in understanding AI logic affecting trust and accuracy perception.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 2","","The counterintuitive result suggests that the AI’s reflective questions may help users focus their decision-making process, thereby simplifying the task. By guiding users toward key considerations, the AI-generated questions might reduce cognitive overload, offering a structured framework for evaluating the AI’s recommendations.","Severity Justification: The text describes a reduction in cognitive overload, which is a positive effect on performance, but it is framed in the context of addressing potential degradations, so severity is low as it's mitigating rather than causing degradation. | Relevance Justification: This is relevant to cognitive load (priority 4) in human-AI interaction, as it discusses AI features reducing cognitive overload, which relates to performance metrics and behavioral changes in decision-making processes.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 3","","It is possible that questions may introduce additional cognitive processing load, leading to this slight decrease.","Severity Justification: The text describes a 'slight decrease' in satisfaction linked to 'additional cognitive processing load', indicating a mild but direct performance degradation effect. | Relevance Justification: This directly addresses cognitive load issues (priority 4) in human-AI interaction, as it involves AI-driven questions increasing cognitive processing load, which is a novel AI-related degradation compared to traditional automation.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 3","","without overwhelming them with additional information load.","Severity Justification: The excerpt indirectly addresses cognitive load by stating that visualizations prevent overwhelming users, but it does not explicitly describe severe degradation or negative outcomes. | Relevance Justification: This relates to cognitive load, a priority search category, as it discusses information load in the context of AI decision-making, though it is framed as a mitigation rather than a direct degradation.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 3","","Trust. We observe a slight decrease in trust, though this change is not statistically significant ( p= 0.099).","Severity Justification: The decrease is described as 'slight' and not statistically significant, indicating a minor impact on performance. | Relevance Justification: This directly addresses trust issues, a key focus in human performance degradation with novel AI systems, as specified in the priority search.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 6","","The results suggest that the performance visualizations (C6) lead users to question the AI’s recommendations more critically, potentially leading to a loss of trust when the AI’s behavior does not align with the user’s expectations.","Severity Justification: Loss of trust is a moderate degradation as it can undermine effective human-AI collaboration, but the text does not specify severe operational consequences. | Relevance Justification: Directly mentions a loss of trust due to AI behavior not aligning with user expectations, which is a key trust issue in human-AI interaction.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 6","","It suggests that the increased cognitive load leads users to question AI suggestions more critically.","Severity Justification: The excerpt explicitly links increased cognitive load to questioning AI suggestions, suggesting moderate performance impact as it affects user engagement and trust, but does not specify severe outcomes like errors or failures. | Relevance Justification: This directly relates to cognitive load, a priority search category, and discusses human performance degradation in interacting with AI, aligning with the research focus on novel AI characteristics like opacity and adaptive behavior.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 4","","It may be because the reflective questions introduce extra cognitive steps before making decisions.","Severity Justification: The excerpt implies a moderate degradation due to increased cognitive steps, which could hinder efficiency but is not described as severe or causing errors. | Relevance Justification: Directly relates to cognitive load from AI interaction, aligning with the research focus on novel AI characteristics like opacity and adaptive behavior affecting human performance.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: cognitive_overload | Severity: 4","","mechanisms that require deeper cognitive engagement (e.g., Engaging with AI AI-driven questions (C5)) may introduce additional cognitive load without significantly improving user perception of consistency.","Severity Justification: The text explicitly mentions 'additional cognitive load' as a potential negative effect, but it does not quantify its impact or describe severe performance degradation. | Relevance Justification: This directly addresses cognitive load, which is a priority search category for human performance degradation in human-AI interaction, specifically related to novel AI characteristics like context-aware/adaptive behavior.","y"
"Engaging With AI: How Interface Design Shapes Human-AI Collaboration in High-Stakes Decision Making","","Category: trust_issues | Severity: 7","","Human feedback (C4) and AI-driven questions (C5) both result in significantly lower trust scores compared to the more straightforward AI support provided in Condition 1. This indicates that while reflective mechanisms can prompt users to think critically, they may also expose users to uncertainties, reducing trust in the system.","Severity Justification: The degradation is described as 'significantly lower trust scores' with a direct causal link to reduced trust, indicating a moderate to high impact on human performance due to trust issues. | Relevance Justification: This directly addresses trust issues (under-trust or trust reduction) as a human performance degradation related to novel AI characteristics, specifically reflective mechanisms and uncertainties, which aligns with the research focus on non-deterministic decision-making and opacity.","y"
